ID,EC50,ION_ACTIVITY,ACTUAL_200,ACTUAL_500,ACTUAL_1000,M2_200_90,M5_500_40,M5_500_130,M5_500_250,M5_1000_210,LOGC_500,SMILE
MMV000570,0.194,INACTIVE,ACTIVE,ACTIVE,ACTIVE,0.995666027,0.949098706,0.999997139,1,0.999996305,0.837161314,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1
MMV000604,0.735,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.014441098,0.002819793,0.000908843,0.015641851,0.999994278,0.046000774,COc1ccc(cc1)C2=CC(=O)Oc3c4CN(Cc5ccc(F)cc5)COc4ccc23
MMV000617,4.6141,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.115988649,0.002074969,0.000747352,0.001140606,9.44E-05,0.026724261,COc1ccc(cc1)C(O)(CCC(C)C)C(CN2CCOCC2)c3ccc(Cl)cc3
MMV000619,1.38,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.014428135,0.001952706,0.000741237,0.001844502,9.49E-05,0.026796381,CCCCC(O)(C(CN1CCOCC1)c2ccc(Cl)cc2)c3ccc(Cl)cc3
MMV000620,0.9157,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.028388897,0.002443247,0.000805508,0.001187436,0.999930859,0.003309523,CC(O)(C(CN1CCCCC1)c2ccccc2)c3ccc(Cl)cc3
MMV000621,3.1801,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.004264086,0.002052958,0.00076245,0.002236309,7.56E-05,0.024145533,CCCCCCC(O)(C(CN1CCOCC1)c2ccccc2)c3ccc(F)cc3
MMV000634,0.648,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.441385537,0.002084565,0.000676033,0.001370108,0.999989867,0.003829038,CC1CCCCN1CCCNC(=O)c2ccc3c(c2)sc4nc(cn34)c5ccc(F)cc5
MMV000642,0.0202,ACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999100566,0.999999642,1,0.999994278,0.916934675,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1Cl
MMV000648,3.1587,ACTIVE,INACTIVE,INACTIVE,INACTIVE,0.87512958,0.006212054,0.000679916,0.002954694,8.67E-05,0.078215889,COc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4
MMV000653,1.32,ACTIVE,INACTIVE,INACTIVE,INACTIVE,0.51973021,0.006292579,0.00083869,0.003710479,0.000116057,0.066052086,CCOc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4
MMV000662,0.0367,ACTIVE,ACTIVE,ACTIVE,ACTIVE,0.999483109,0.998978615,0.999998808,1,0.999971509,0.93863925,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1
MMV000699,0.454,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.999781072,0.999894977,0.999998927,1,0.999919653,0.944036976,Cc1ccc(cc1)C2CC(n3nc(cc3N2)C(=O)N4CCN(CC4)C(c5ccccc5)c6ccccc6)C(F)(F)F
MMV000704,1.1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.999994874,0.002777999,0.000475665,0.001097655,2.22E-06,0.093074036,c1(Nc(cc2)ccc2N(CC3)CCN3C)c4c(ccc(OC)c4)ncc1C(OCC)=O
MMV000720,1.015,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.931194723,0.002351243,0.000546918,0.003919989,2.65E-07,0.021342447,Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c4ccc5cccnc5c4O)c1
MMV000753,0.326,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.878489256,0.998761535,0.999999881,1,0.999872923,0.901480509,Oc1ccc(cc1)c2nc(c3ccc4oc5ccc(cc5c4c3)c6[nH]c(nc6c7ccccc7)c8ccc(O)cc8)c([nH]2)c9ccccc9
MMV000760,3.7605,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.013112661,0.002494623,0.000461058,0.00715326,8.32E-05,0.045109184,Oc1c(CN2CCN(CC2)c3ccccc3F)cc(Br)c4cccnc14
MMV000787,0.407,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.984958649,0.999306202,1,0.999998927,0.999962568,0.835464011,CCCOCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14
MMV000788,0.697,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.141759217,0.003876426,0.000693005,0.000872854,0.99994266,0.120089177,CC(C)OCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14
MMV000839,1.08,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.949764431,0.002154575,0.00027139,0.001891229,3.68E-05,0.067590479,OC(CNCc1ccccc1)Cn2c3ccccc3c4ccccc24
MMV000848,0.66,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.624206543,0.003394227,0.002037006,0.000853638,0.999950171,0.34124109,OC(CNC1CCCC1)Cn2c3ccccc3c4ccccc24
MMV000911,15,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.040525839,0.002362455,0.000405734,0.001522655,5.13E-05,0.030450309,Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1F
MMV000917,1.24,ACTIVE,INACTIVE,INACTIVE,INACTIVE,0.089635447,0.002492634,0.000659375,0.000914558,0.000203356,0.086467744,COc1ccc2C3CC(=Nc4ccccc4N3C(=O)c2c1OC)c5ccc(C)cc5
MMV000963,0.589,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.228565603,0.002456488,0.000632971,0.003293422,0.999992371,0.038527321,n1c(NCc2ccccc2)c3c(cccc3)nc1Nc(cc4)ccc4OC
MMV000972,2.5741,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.000181482,0.002249967,0.000620596,0.001432569,0.000135721,0.158728172,OC1(CC(=O)c2ccccc2O1)C(F)(F)C(F)(F)F
MMV000986,1.43,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.187154308,0.002457086,0.000465283,0.002626358,1.95E-05,0.015548795,c1(N(CC2)CCN2C)c3c(nc(Nc(ccc4O)cc4)n1)cccc3
MMV001038,0.428,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.007566227,0.993558824,0.999999166,0.999999762,0.999970675,0.725823336,n1c(NCCO)c2c(cccc2)nc1Nc(ccc(C)c3C)c3
MMV001041,0.59,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.003933129,0.002307962,0.000913039,0.002716647,0.99996829,0.050881736,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc3ccccc13
MMV001049,1.26,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.771671116,0.001968311,0.000625733,0.001700721,2.80E-05,0.00930066,CC(C)c1ccc(CNCC(O)c2ccccc2)cc1
MMV001230,3.0426,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.001950354,0.002161939,0.000537637,0.006515073,5.96E-05,0.023094778,CCOc1cccc2sc(nc12)N(Cc3cccnc3)C(=O)C4CCCCC4
MMV001239,15,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.001360701,0.002561627,0.000635382,0.015855271,2.18E-05,0.02280162,COc1ccc2sc(nc2c1)N(Cc3cccnc3)C(=O)c4ccc(cc4)C#N
MMV001241,15,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.00201782,0.002806564,0.000606122,0.010256615,1.86E-05,0.00193608,COc1ccc(C)c2sc(nc12)N(Cc3cccnc3)C(=O)c4ccc(cc4)C#N
MMV001246,0.206,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.004910847,0.999692678,1,1,0.999734104,0.84920743,CSc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3
MMV001255,0.538,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.032131329,0.002147866,0.000691219,0.001046892,0.99999845,0.006467456,CCCCc1ccc(NS(=O)(=O)c2cc3CCN4C(=O)CCc(c2)c34)cc1
MMV001318,15,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.025231212,0.002119237,0.000412174,0.001536508,1.47E-05,0.047311706,Clc1cccc(NC(=O)Nc2ccc(Br)cc2)c1
MMV001344,0.7555,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.010027373,0.002448666,0.000535813,0.001735748,0.999836564,0.039687185,CC1CC(C)CN(C1)C(=O)c2ccc(Cl)cc2Cl
MMV006087,0.0581,INACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999619603,0.999994636,0.99998188,0.999988437,0.900720173,c(c(ccn1)NCCN(CC)CC)(ccc(Cl)c2)c12
MMV006169,0.776,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.996874213,0.002279118,0.000536222,0.002290345,0.999989629,0.023312707,C(Nc1nc(Nc2ccccc2)nc3ccccc13)c4ccccc4
MMV006172,0.1415,INACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999355376,0.999996901,1,0.999980211,0.838599217,CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2
MMV006188,0.8905,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.044872887,0.002552147,0.00093364,0.012645462,0.999951243,0.001093653,Clc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3
MMV006203,0.3,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.999946594,0.999650121,1,1,0.999886394,0.923484485,Cc1cc(NCCN2CCCCC2)c3ccc4ccccc4c3n1
MMV006250,0.314,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.004217102,0.997419834,0.999999642,1,0.999999881,0.901367425,CCOC(=O)c1cnc2c(C)cccc2c1Nc3ccc(cc3)C(=O)C
MMV006278,0.378,INACTIVE,INACTIVE,ACTIVE,ACTIVE,4.80929E-05,0.999471009,0.999990225,0.999974012,0.999957323,0.877299335,CCC1=C(C)C(=N)c2ccccc2N1C
MMV006303,0.391,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.999999881,0.999768913,0.999997854,0.999994636,0.9999789,0.987473692,c1(c(ccn2)NCCN(CC)CC)c2cc(cccc3)c3c1
MMV006309,0.0515,INACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999873519,0.999999881,1,0.999988317,0.826913642,CN(C)c1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
MMV006319,0.662,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.003496555,0.002423351,0.000468758,0.001558093,0.999996066,0.12462501,Cc1cc(Nc2cccc(F)c2)nc(NCc3ccccc3)n1
MMV006389,0.4145,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.056458808,0.99970144,0.999999642,1,0.999967813,0.918409646,Fc1cccc(c1)C2Sc3ccccc3N=C4C2C(=O)c5ccccc45
MMV006427,0.0782,ACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999479592,1,0.999993205,0.999995232,0.940241083,COc1cc(OC)c(cc1Cl)N(C)C(=O)c2cc3CS(=O)(=O)c4ccccc4c3s2
MMV006429,0.0328,ACTIVE,ACTIVE,ACTIVE,ACTIVE,0.905964315,0.998061955,0.999999881,1,0.999962568,0.951155943,CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4
MMV006455,0.196,INACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999647379,0.999999642,1,0.999899149,0.872136933,CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc2ccccc2
MMV006457,0.118,INACTIVE,ACTIVE,ACTIVE,ACTIVE,0.999724448,0.999244094,1,0.999999642,0.999922752,0.845546027,CCOC(=O)c1ccc2nc(cc(O)c2c1)c3ccccc3
MMV006513,0.304,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.763238668,0.989423335,0.999999166,1,0.999963522,0.96564573,C(Cc1c[nH]c2ccccc12)Nc3c4ccccc4nc5ccccc35
MMV006522,0.48,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.022817263,0.982500851,0.99995029,0.999895573,0.999982834,0.57657736,CCOc1ccc2nc(C)cc(Nc3ccc(Br)cc3)c2c1
MMV006545,0.707,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.474214405,0.002305983,0.000426533,0.000568966,0.999973536,0.203506312,c12c(ncnc1NCCN(CC)CC)c3c(ccc(Br)c3)[nH]2
MMV006558,0.268,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.016341295,0.99909544,1,1,0.999910831,0.948769593,Cc1cc(C)c2CN(Cc3ccccc3Cl)COc2c1
MMV006587,0.7,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.805792391,0.002973101,0.001665653,0.009037422,0.999873996,0.161774821,c12c(ncnc1NCCCN(CC3)CCO3)c4c(ccc(Cl)c4)[nH]2
MMV006656,0.5185,ACTIVE,INACTIVE,INACTIVE,ACTIVE,0.823503673,0.002248665,0.000687462,0.001494904,0.9998523,0.029394458,CCOC(=O)C1=CN(C)C=C(C1c2cc(Br)c(OCC)c(OC)c2)C(=O)OCC
MMV006704,4,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.993726969,0.002908655,0.000785511,0.001339961,1.08E-05,0.080518683,CN(C)CCNc1cc(nc2ccccc12)c3ccccc3
MMV006706,0.683,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.989498138,0.003034025,0.000684424,0.002936223,0.999947667,0.003372779,n1(c2c(cccc2)n3)c3c(C#N)c(C)cc1N(CC4)CCN4C5CCCC5
MMV006753,0.441,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.046368621,0.772563398,0.999999285,0.999999881,0.999996781,0.805703075,CC1=CC(=O)Oc2c1ccc3oc(C(=O)c4ccccc4)c(C)c23
MMV006764,0.5115,ACTIVE,INACTIVE,INACTIVE,ACTIVE,0.889851809,0.002072704,0.000688397,0.001291883,0.999911189,0.032340067,CCOc1c(Br)cc(cc1OC)C2C(=CN(C)C=C2C(=O)OC)C(=O)OC
MMV006767,0.927,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.082995452,0.002395178,0.0005602,0.001680493,0.999834538,0.045607563,COc1cc2cc(C(=O)Nc3ccccc3)c(N)nc2cc1OC
MMV006787,0.473,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.975071788,0.999182999,0.999989152,0.999915123,0.999985099,0.924080232,CC(C)CCNCC(O)Cn1c2ccccc2c3ccccc13
MMV006820,4,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.002399768,0.002439425,0.000580822,0.001476807,3.90E-05,0.011174348,CCCCc1c(C)nc2c(OC)cccc2c1O
MMV006825,0.467,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.001899409,0.976349473,0.999999523,1,0.999996901,0.81864002,n1c(Nc(cc2)ccc2OC)cc(C)nc1NCc3ccccc3
MMV006861,0.251,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.999804318,0.993270218,0.999992847,1,0.99998188,0.924569665,C1CN(CCO1)c2ccc(Nc3ccnc4cc5ccccc5cc34)cc2
MMV006882,1.19,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.04445383,0.002795122,0.000508462,0.00121759,3.42E-05,0.066994895,CCOC(=O)c1cnc2ccc(Cl)cc2c1NCCCN(C)C
MMV006913,1.29,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.000176229,0.002510306,0.000563,0.001710773,3.38E-05,0.041992762,Cc1nc2ccccc2c(O)c1CC=C
MMV006937,0.396,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.037803177,0.99725014,0.999997497,0.999998331,0.999945283,0.871726763,Cc1ccc(cc1)c2cc3nc4CCCCc4c(O)n3n2
MMV006962,0.993,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.000814122,0.002596239,0.000620783,0.349691778,0.999979138,0.037695186,Clc1ccc(cc1)C(=O)Nc2ccc(cc2)c3nc4cc(NC(=O)c5ccc(Cl)cc5)ccc4[nH]3
MMV007020,4,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.566187501,0.002603272,0.000596178,0.017864911,1.60E-05,0.319113347,CCOc1ccc2nc(C)cc(Nc3ccc(cc3)N(C)C)c2c1
MMV007041,4,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.015092107,0.00251324,0.000521588,0.00148983,6.25E-05,0.060239015,Cc1ccc2c(C)nc(Nc3nc(C)cc(n3)c4ccccc4)nc2c1
MMV007092,1.2,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1,0.001775564,0.000749472,0.001081815,2.86E-05,0.010935167,CCOc1ccc(CN2CCN(CC(O)COc3ccc(OCC(O)CN4CCN(Cc5ccc(OCC)cc5)CC4)cc3)CC2)cc1
MMV007113,0.6615,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.941629887,0.001964302,0.00065379,0.000958373,0.999946356,0.059907199,c1ccc(cc1)C2=Nc3ccccc3N=C(c4ccccc4)c5ccccc25
MMV007116,0.351,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.002462487,0.997662663,0.999999523,1,0.999994159,0.847351707,c1(cnc(c2c1O)ccc(CC)c2)C(OCC)=O
MMV007127,0.567,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.003925086,0.002748102,0.000585987,0.000384459,0.999985695,0.015133478,OC1=C2C(Sc3ccccc3N=C2c4ccccc14)c5ccc(Br)cc5
MMV007160,0.0248,INACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.997521102,0.999981761,1,0.999865413,0.90672037,Cc1ccc(cc1)N2C3N(c4ccccc4C2N(c5ccccc35)S(=O)(=O)c6ccc(C)cc6)S(=O)(=O)c7ccc(C)cc7
MMV007181,0.684,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.013330546,0.002195778,0.00058569,0.000981743,0.999979734,0.068311826,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc4cc(O)ccc14
MMV007199,0.4775,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.998401344,0.999621511,0.999999881,0.999988794,0.999927044,0.957812565,COc1ccccc1N2C(=N)SC(=Cc3ccc(OCc4ccccc4F)cc3)C2=O
MMV007208,0.912,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.053421363,0.00261008,0.000685189,0.001046453,0.999984026,0.039259114,COc1ccc(OC)c(c1)C2C3=C(CC(C)(C)CC3=O)N(C4=C2C(=O)CC(C)(C)C4)c5ccc(Cl)c(Cl)c5
MMV007224,1.061,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.002015312,0.002866733,0.000552999,0.001484518,1.35E-05,0.099447222,Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1
MMV007228,0.3045,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.999094725,0.999858022,1,1,0.9999547,0.958214997,Cc1cccc(c1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc6OCOc6c5)c7ccc8OCOc8c7)c9ccccc9)c%10ccccc%10
MMV007273,0.35,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.001647582,0.997391939,0.999999881,0.999999642,0.999986887,0.855798945,COc1cc(cc(OC)c1O)c2nc(c3ccc(Sc4ccccc4)cc3)c([nH]2)c5ccccc5
MMV007275,0.539,ACTIVE,INACTIVE,INACTIVE,ACTIVE,0.08297722,0.002575281,0.000687741,0.001484765,0.999967337,0.033460034,Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3
MMV007285,4,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.17420955,0.002524023,0.000719497,0.001695959,1.02E-05,0.043453393,CCOc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1
MMV007363,0.944,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.000532205,0.002484318,0.00047416,0.001116096,0.999855995,0.075917335,Clc1ccc2c(ccnc2c1)N3CCCC3
MMV007374,4,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.018746922,0.002035873,0.000473277,0.028258989,1.56E-05,0.132966168,CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
MMV007384,0.1765,INACTIVE,ACTIVE,ACTIVE,ACTIVE,1,0.999565899,0.999999881,0.999965549,0.999980688,0.825671318,COc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(OC)cc6)ccc3[nH]2
MMV007396,0.697,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.00187012,0.002193517,0.000947827,0.018278778,0.999985337,0.091394233,Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4cccs4)cc3s2
MMV007430,0.939,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.003917446,0.002372004,0.000811911,0.02022909,0.999979377,0.005000932,Brc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3
MMV007474,1.27,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.999361694,0.003023372,0.000640836,0.000726604,7.61E-05,0.000851846,COc1cc2CCN(C)C3Cc4ccc(Oc5cc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4
MMV007557,0.632,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.999999881,0.003768703,0.000849115,0.001072496,0.999810994,0.021498956,COc1ccc(CCNC(=O)c2cc(ccc2Sc3ccc(F)cc3)S(=O)(=O)N4CC(C)CC(C)C4)cc1OC
MMV007564,0.947,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.003851205,0.002284842,0.000686916,0.000998299,0.999137223,0.003028472,Cc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)cc1
MMV007571,0.635,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.041305266,0.002323327,0.000883073,0.001055349,0.999975324,0.018923397,Cc1ccc(CSCc2oc(cc2)C(=O)NC3CC3)cc1
