ID, ACTUAL,LOGC_ACTIVE,LOGC_INACTIVE,LOGC_PARTIAL,D840_ACTIVE,D840_INACTIVE,D840_PARTIAL,D540_ACTIVE,D540_INACTIVE,D540_PARTIAL,D_ACTIVE,D_INACTIVE,D_PARTIAL,M1_ACTIVE,M1_INACTIVE,M1_PARTIAL,M5_ACTIVE,M5_INACTIVE,M5_PARTIAL,TOP_ACTIVE,TOP_INACTIVE,TOP_PARTIAL,MACC_ACTIVE,MACC_INACTIVE,MAC_PARTIAL,META_ACTIVE,META_INACTIVE,META_PARTIAL,SMILE,,,,,,,ID, Actual_Class
MMV665796, ACTIVE,0.888302391,0.111094307,0.000603302,0.77211982,0.208709627,0.019170526,0.647050261,0.315214336,0.037735403,0.878760219,0.084357798,0.036881953,0.675587714,0.019531447,0.304880887,0.71461767,0.002135575,0.283246785,0.451314956,0.228405192,0.320279866,0.362691611,0.302253455,0.335054904,0.999999997,2.73E-09,3.33E-303, CCOc1cc(Br)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2,,,,,,,JFD02381, INACTIVE
MMV665803, ACTIVE,0.60761001,0.39188967,0.000500319,0.765351236,0.22638081,0.00826791,0.613955855,0.36428082,0.02176326,0.923400939,0.040527359,0.036071651,0.666809618,0.020812826,0.312377542,0.71820271,0.001771693,0.280025542,0.456130981,0.224106207,0.319762856,0.353126556,0.312317789,0.334555656,0.999999999,6.07E-10,1.53E-307, CCOc1cc(Cl)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2,,,,,,,KM08910, INACTIVE
MMV006427, ACTIVE,0.85566973,0.141389731,0.002940539,0.761283934,0.214909539,0.023806509,0.641068876,0.302526146,0.056405008,0.915054739,0.049020983,0.035924245,0.667823732,0.019598955,0.312577277,0.715245128,0.00209376,0.28266114,0.441061944,0.232276946,0.32666111,0.348754555,0.319224894,0.332020551,1,3.84E-14,2.68E-279, COc1cc(OC)c(cc1Cl)N(C)C(=O)c2cc3CS(=O)(=O)c4ccccc4c3s2,,,,,,,KM09116, INACTIVE
MMV665800, ACTIVE,0.602274981,0.397144098,0.000580921,0.760219157,0.231215984,0.008564782,0.625271738,0.35192129,0.022806989,0.943177462,0.022085167,0.034737457,0.665258288,0.021411775,0.313329995,0.711034417,0.002287462,0.286678076,0.450159699,0.228476241,0.321364045,0.353642255,0.313086361,0.333271414,0.651063043,0.348936957,0.00E+00, CCOc1cc(Cl)c(cc1OCC)C(C)NC(=O)c2ccccc2,,,,,,,KM11054, INACTIVE
UNKN3, ACTIVE,0.868025135,0.130039434,0.001935431,0.758690238,0.216363937,0.0249459,0.697474837,0.253287822,0.04923737,0.94410044,0.021304524,0.034595001,0.690842748,0.014328716,0.294828504,0.72456789,0.00133906,0.274093062,0.443563968,0.234865248,0.321570814,0.366793483,0.298377573,0.334829003,1,7.68E-16,9.24E-286, C[C@@H](CC1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC=CC=C5N4,,,,,,,MMV000248, INACTIVE
MMV669304, ACTIVE,0.510852785,0.487777394,0.001369821,0.757098913,0.232327923,0.010573189,0.627538025,0.345730782,0.026731234,0.943038344,0.021943282,0.035018437,0.685840905,0.016957635,0.297201425,0.724772632,0.001493837,0.273733586,0.444114685,0.232524842,0.323360443,0.349094808,0.318847686,0.332057476,0.999993543,6.46E-06,2.42E-287, c1(ccccc1)CCCc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,,,,,,MMV000304, INACTIVE
MMV671677, ACTIVE,0.66465185,0.322984001,0.012364148,0.746731341,0.224208176,0.029060461,0.644736886,0.301045746,0.054217391,0.908565223,0.05412579,0.037309032,0.688316584,0.013440555,0.298242837,0.718720198,0.001814641,0.279465199,0.465725094,0.216408461,0.317866445,0.362863272,0.300170779,0.336965889,1,2.67E-21,3.40E-281, c1c(c(c(cc1)C(F)(F)F)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,,,,,,,MMV000326, INACTIVE
MMV396719, ACTIVE,0.786709564,0.212458506,0.00083193,0.746206582,0.238467157,0.015326262,0.673670471,0.297899663,0.028429812,0.92703563,0.037464216,0.035500161,0.66892755,0.019181909,0.311890662,0.731341064,0.001223384,0.267435521,0.467205018,0.213913709,0.318881243,0.362746656,0.304152012,0.333101302,1,1.23E-14,3.86E-293, n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5cccc(OC)c5,,,,,,,MMV000340, INACTIVE
UNKN2, ACTIVE,0.935348577,0.061157883,0.00349354,0.745323777,0.22489664,0.029779587,0.6872527,0.257753462,0.054993767,0.926042616,0.038550008,0.035407439,0.698012412,0.013262437,0.288725138,0.713187099,0.002007403,0.284805566,0.447657108,0.229803309,0.322539598,0.36900872,0.295347065,0.335644215,1,4.87E-17,4.23E-289, C[C@@H](C1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC(F)=C(F)C=C5N4,,,,,,,MMV000356, INACTIVE
UNKN1, ACTIVE,0.93643884,0.060020458,0.003540702,0.745301604,0.224170744,0.030527601,0.681446671,0.259803623,0.058749724,0.739479899,0.22404179,0.036478322,0.69426769,0.013810225,0.291922152,0.708791077,0.002426598,0.288782358,0.444881499,0.231919304,0.323199213,0.36900872,0.295347065,0.335644215,1,1.41E-18,2.77E-287, C[C@@H](C1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC(F)=C(Cl)C=C5N4,,,,,,,MMV000442, INACTIVE
MMV396749, ACTIVE,0.962092329,0.034871253,0.003036418,0.744969726,0.225315914,0.0297144,0.700125098,0.249991938,0.049882863,0.853913248,0.108044617,0.038042199,0.67967099,0.016691817,0.303637177,0.717535198,0.002066099,0.280398726,0.457028389,0.221883476,0.321088195,0.368546247,0.297075868,0.334377855,1,2.77E-18,5.00E-285, C12(Nc(cccc3)c3c4n1c5c(cccc5)n4)C(=O)Nc(ccc(OC)c6)c26,,,,,,,MMV000443, INACTIVE
UNKN6, ACTIVE,0.696614043,0.293228371,0.010157586,0.738795042,0.235071227,0.026133636,0.637575507,0.306812674,0.0556117,0.781489134,0.182830572,0.035680261,0.683891356,0.01682679,0.299281865,0.721211553,0.001625608,0.27716279,0.456880718,0.219810277,0.323308975,0.347448409,0.319429487,0.333122134,0.999999942,5.79E-08,8.27E-281, O=C(NC1=CC=C(F)C=C1F)NC2=C(C3=CC=C(Br)C=C3)C(C(F)(F)F)=NN2C,,,,,,,MMV000444, INACTIVE
MMV000648, ACTIVE,0.810018789,0.187804031,0.00217718,0.736023903,0.230862767,0.033113308,0.636760831,0.305823922,0.057415314,0.906919003,0.056817483,0.036263544,0.685845077,0.016202886,0.297952086,0.719235182,0.001745733,0.279019147,0.457584143,0.222889528,0.319526374,0.372642577,0.290026575,0.337330848,1,3.06E-31,9.43E-290, COc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4,,,,,,,MMV000445, INACTIVE
MMV006764, ACTIVE,0.898992085,0.098632097,0.002375817,0.73577261,0.232057318,0.032170046,0.670914173,0.27140215,0.057683639,0.82276088,0.140737996,0.036501158,0.67935127,0.018812273,0.301836491,0.709446669,0.002265075,0.288288265,0.432988852,0.244553074,0.322458088,0.356795639,0.309885949,0.333318412,0.992953283,0.007046717,1.93E-302, CCOc1c(Br)cc(cc1OC)C2C(=CN(C)C=C2C(=O)OC)C(=O)OC,,,,,,,MMV000448, INACTIVE
MMV666025, ACTIVE,0.776447903,0.222751988,0.000800109,0.73343277,0.249386132,0.017181063,0.652677298,0.314148456,0.033174288,0.849949002,0.11334455,0.036706433,0.685379803,0.01657317,0.298047066,0.71059978,0.002398104,0.287002027,0.454905778,0.224960819,0.320133328,0.35631758,0.310180098,0.333502322,2.80E-06,0.999997204,6.23E-293, OC(Cn1nnc2ccccc12)Cn3c4ccc(Br)cc4c5cc(Br)ccc35,,,,,,,MMV000478, INACTIVE
MMV000662, ACTIVE,0.87559091,0.12123943,0.00316966,0.72672981,0.235585794,0.03768437,0.639660776,0.288930893,0.071408279,0.901628017,0.061883677,0.036488384,0.697032213,0.013321063,0.289646685,0.736340404,0.001044712,0.262614787,0.456860334,0.223457739,0.319681942,0.364512265,0.29877755,0.336710215,1,1.64E-28,2.33E-290, COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1,,,,,,,MMV000481, INACTIVE
MMV006429, ACTIVE,0.932333802,0.063829652,0.003836546,0.723230004,0.237209842,0.03956015,0.655311286,0.272119135,0.072569557,0.869347155,0.093936853,0.036716003,0.691412926,0.013848096,0.294738978,0.730255127,0.001244119,0.268500775,0.454057366,0.22413221,0.321810395,0.369841605,0.294271737,0.335886627,1,4.12E-30,2.08E-288, CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4,,,,,,,MMV000483, INACTIVE
MMV000653, ACTIVE,0.709475615,0.286590233,0.003934152,0.71783644,0.246133685,0.036029927,0.596957266,0.346843928,0.056198817,0.899291277,0.063830905,0.036877777,0.672359347,0.019349184,0.308291495,0.723799765,0.001647087,0.27455309,0.455435097,0.224696383,0.319868505,0.36709708,0.298962414,0.333940446,1,1.93E-32,3.33E-287, CCOc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4,,,,,,,MMV000498, INACTIVE
MMV000917, ACTIVE,0.425290034,0.57336294,0.001347026,0.713740647,0.276789337,0.009470087,0.585404575,0.390443027,0.024152385,0.94343394,0.022237636,0.034328505,0.671640873,0.020671083,0.307688057,0.720881879,0.001638465,0.277479738,0.449164033,0.228906378,0.321929574,0.36177516,0.302366078,0.335858822,0.99999273,7.27E-06,3.19E-278, COc1ccc2C3CC(=Nc4ccccc4N3C(=O)c2c1OC)c5ccc(C)cc5,,,,,,,MMV000561, INACTIVE
MMV007617, ACTIVE,0.478820909,0.520511066,0.000668025,0.710909307,0.282592833,0.006497905,0.585705459,0.394649237,0.019645253,0.951743722,0.014935466,0.033320822,0.656298041,0.022818122,0.32088384,0.69695133,0.00374622,0.299302399,0.456801325,0.222816616,0.320382118,0.350018412,0.318202198,0.33177942,7.25E-06,0.999992751,1.11E-294, CC(C)c1ccc(Cn2c(CCNC(=O)C)nc3ccccc23)cc1,,,,,,,MMV000563, INACTIVE
MMV006656, ACTIVE,0.866182071,0.129440427,0.004377501,0.709215522,0.250238091,0.040546477,0.640132308,0.294418633,0.065449096,0.798942387,0.165426493,0.035631124,0.678896666,0.019454684,0.301648647,0.718959868,0.001696597,0.279343575,0.436237186,0.242573977,0.321188837,0.359768689,0.30676353,0.333467782,0.996494982,0.003505018,1.87E-299, CCOC(=O)C1=CN(C)C=C(C1c2cc(Br)c(OCC)c(OC)c2)C(=O)OCC,,,,,,,MMV000570, INACTIVE
MMV000642, ACTIVE,0.924397751,0.070231883,0.005370366,0.70784837,0.245637625,0.046513904,0.624829113,0.296402663,0.078768276,0.784903109,0.180108711,0.034988202,0.708988547,0.010742265,0.280269235,0.733904779,0.001126764,0.264968485,0.457955658,0.222648442,0.31939584,0.366452247,0.296853274,0.336694479,1,9.64E-34,2.61E-289, COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1Cl,,,,,,,MMV000604, INACTIVE
MMV396715, ACTIVE,0.669488333,0.329845238,0.00066643,0.697129786,0.293843865,0.009026382,0.640562356,0.340241492,0.019196155,0.942237318,0.024074377,0.03368827,0.670077205,0.018822454,0.311100364,0.717910886,0.001941538,0.280147612,0.458630502,0.220411867,0.320957631,0.359101623,0.308888108,0.332010299,0.999999984,1.65E-08,5.74E-296, n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5ccccc5,,,,,,,MMV000617, INACTIVE
MMV666124, ACTIVE,0.33311881,0.666462489,0.000418701,0.696353316,0.30200842,0.001638245,0.456190079,0.537807465,0.006002497,0.919906914,0.043000255,0.037092853,0.690691173,0.015320884,0.29398793,0.711147249,0.002214095,0.286638707,0.454357743,0.226976767,0.318665534,0.340887874,0.329328448,0.329783738,0.999855126,0.000144874,4.00E-285, CC(=O)c1ccc(NC(=O)CSc2nc(ns2)c3ccccc3Cl)cc1,,,,,,,MMV000619, INACTIVE
OSM-S-177, INACTIVE,0.386235036,0.610194089,0.003570875,0.696170926,0.291522801,0.012306353,0.662340462,0.296532303,0.041127313,0.327155858,0.65754801,0.015296156,0.252580613,0.472321153,0.275098234,0.221862748,0.534117579,0.244019628,0.315610409,0.363078743,0.321310908,0.339917094,0.32638368,0.333699197,0.999996168,3.83E-06,1.14E-281, O=C(N1CC(C=CC=C2)=C2C1)C3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43,,,,,,,MMV000620, INACTIVE
MMV008455, ACTIVE,0.73551846,0.259859026,0.004622514,0.657985032,0.316588163,0.025426736,0.535183549,0.425330639,0.039485786,0.923179209,0.040785126,0.036035698,0.668563604,0.020500503,0.310935855,0.724200308,0.001730515,0.274069101,0.452299744,0.225789532,0.32191065,0.342781097,0.325854003,0.331364959,1,1.13E-19,1.89E-273, COc1ccc(cc1)C2C(C(=O)Nc3cccc(OC)c3)c4ccccc4C(=O)N2C5CCCCC5,,,,,,,MMV000621, INACTIVE
MMV007275, ACTIVE,0.354343744,0.643455798,0.002200458,0.639415681,0.353965282,0.006619015,0.565338433,0.414660007,0.020001512,0.923124433,0.042017762,0.034857873,0.669603169,0.020570982,0.309825808,0.716535091,0.001995119,0.281469792,0.433598399,0.244015217,0.322386414,0.34511587,0.324059904,0.330824196,5.09E-06,0.999994909,3.01E-299, Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3,,,,,,,MMV000634, INACTIVE
UNKN4, ACTIVE,0.668414038,0.057713303,0.273872659,0.634878933,0.257035106,0.108085908,0.563023627,0.294328421,0.142647862,0.812091112,0.151312754,0.036596142,0.625381649,0.015502275,0.359116107,0.651224911,0.003736629,0.345038444,0.4181225,0.250249088,0.331628293,0.349425495,0.310326368,0.340248168,1,1.39E-22,5.32E-233, O=C1C2=CC=CC=C2[C@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@@H](C4=CN=CC=C4)N1CC(F)(F)F,,,,,,,MMV000642, ACTIVE
UNKN5, PARTIAL,0.614902997,0.047521085,0.337575918,0.628955841,0.258404225,0.112639979,0.563773155,0.293437749,0.142789125,0.775997102,0.188444287,0.035558593,0.625381708,0.015502276,0.359116048,0.651224911,0.003736631,0.345038444,0.4181225,0.250249118,0.331628293,0.349425495,0.310326368,0.340248168,1,1.39E-22,5.32E-233, O=C1C2=CC=CC=C2[C@@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@H](C4=CN=CC=C4)N1CC(F)(F)F,,,,,,,MMV000648, ACTIVE
MMV396705, INACTIVE,0.252304206,0.746285237,0.001410557,0.620602787,0.374208122,0.00518906,0.600254297,0.376437902,0.023307748,0.093022406,0.902967334,0.00401032,0.242031172,0.488175362,0.269793481,0.209746957,0.554258466,0.235994518,0.311429173,0.361921996,0.326648772,0.351408124,0.312875837,0.335716039,2.03E-18,1,7.86E-291, c12c(C(=O)N(C)C(=O)N1C)n(Cc3cccc(OC)c3)c(Oc4ccccc4)n2,,,,,,,MMV000653, ACTIVE
MMV665799, INACTIVE,0.176980482,0.821802056,0.001217462,0.605266571,0.391631305,0.003102078,0.55970633,0.424842924,0.01545076,0.008699865,0.991003156,0.000297001,0.248182476,0.479433626,0.272383928,0.262783647,0.468886375,0.268329918,0.30777362,0.372107148,0.320119232,0.340441555,0.327583879,0.331974596,5.61E-13,1,2.58E-299, COc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccncc3,,,,,,,MMV000662, ACTIVE
MMV666103, INACTIVE,0.243285657,0.752656516,0.004057827,0.591844499,0.399597377,0.008558149,0.552800715,0.414692372,0.032506946,0.923974156,0.042283673,0.033742215,0.237404376,0.496345371,0.266250163,0.212244436,0.550133288,0.23762235,0.305186212,0.373926789,0.320886999,0.332014322,0.33854726,0.329438388,2.03E-16,1,7.58E-286, CCN1C(=Nc2ccccc2C1=O)SCC(=O)Nc3cc(ccc3Cl)C(F)(F)F,,,,,,,MMV000699, INACTIVE
MMV019258, INACTIVE,0.215687072,0.783631628,0.000681301,0.590071857,0.406111687,0.003816477,0.544828892,0.438103169,0.017067894,0.130175248,0.864408731,0.005415944,0.272719443,0.438187987,0.289092541,0.208849177,0.555795491,0.235355273,0.31887877,0.358439893,0.322681397,0.333135426,0.336472809,0.330391705,1.71E-12,1,7.04E-280, COc1ccc(c(OC)c1)n2ccnc2SCC(=O)Nc3cc(C)ccc3C,,,,,,,MMV000704, INACTIVE
MMV672990, INACTIVE,0.305783635,0.692591584,0.00162478,0.571788967,0.422437727,0.005773352,0.557770073,0.419197768,0.023032133,0.003414185,0.996448994,0.000136816,0.261722326,0.457090199,0.281187505,0.221129492,0.535491705,0.243378803,0.307043135,0.373824596,0.319132298,0.358458668,0.307696193,0.333845168,0.001630313,0.998369687,8.16E-273, c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NC(Cc1cccc(c1)Cl)=O,,,,,,,MMV000720, INACTIVE
MMV006250, INACTIVE,0.092055587,0.906782023,0.00116239,0.535764575,0.461534381,0.002701122,0.555834413,0.427705526,0.016460059,0.664392233,0.309146762,0.026461061,0.237695768,0.495715588,0.266588628,0.207397774,0.558204889,0.234397337,0.308404356,0.369243771,0.322351813,0.323855042,0.348251641,0.327893376,2.24E-20,1,1.35E-297, CCOC(=O)c1cnc2c(C)cccc2c1Nc3ccc(cc3)C(=O)C,,,,,,,MMV000753, INACTIVE
MMV666057, INACTIVE,0.078961014,0.918749014,0.002289972,0.515525222,0.481996477,0.002478335,0.535929024,0.449396282,0.01467469,0.005940093,0.993805051,0.000254846,0.237472713,0.496927649,0.265599668,0.285116494,0.434901178,0.279982299,0.308378458,0.369361788,0.322259784,0.332991004,0.336470008,0.330538958,2.99E-12,1,1.46E-295, Clc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccncc3)c(Cl)c1,,,,,,,MMV000760, INACTIVE
MMV001239, INACTIVE,0.043108113,0.952859454,0.004032433,0.500417173,0.496035457,0.003547367,0.517029881,0.462842077,0.020128058,0.010808319,0.988780499,0.000411147,0.24059321,0.489133209,0.270273596,0.1978966,0.574271977,0.227831408,0.300802886,0.376696646,0.322500467,0.327918112,0.341021746,0.331060112,4.18E-14,1,6.99E-271, COc1ccc2sc(nc2c1)N(Cc3cccnc3)C(=O)c4ccc(cc4)C#N,,,,,,,MMV000787, INACTIVE
MMV001241, INACTIVE,0.032268266,0.963403975,0.004327759,0.487362862,0.509145677,0.00349139,0.518763423,0.461364836,0.019871755,0.043000776,0.955571532,0.001427619,0.243319169,0.485369056,0.271311849,0.200883746,0.569037914,0.230078265,0.298614174,0.377363831,0.324021965,0.328148872,0.341138899,0.330712289,1.09E-16,1,5.16E-269, COc1ccc(C)c2sc(nc12)N(Cc3cccnc3)C(=O)c4ccc(cc4)C#N,,,,,,,MMV000788, INACTIVE
MMV667489, INACTIVE,0.101079995,0.896494373,0.002425632,0.486510873,0.507261574,0.006227576,0.544156015,0.430512458,0.025331547,0.530556738,0.445455283,0.023987923,0.233927831,0.501894236,0.264177948,0.231959283,0.517883182,0.250157505,0.303686976,0.373629868,0.322683156,0.316285461,0.357714534,0.326000065,3.57E-11,1,4.32E-272, N1C(c2cccc(cccc3)c23)C(CC=C4)C4c5c1c(Cl)ccc5C(OC)=O,,,,,,,MMV000839, INACTIVE
MMV008294, INACTIVE,0.179291909,0.819692442,0.001015649,0.482487619,0.514147818,0.003364508,0.507577419,0.475502014,0.016920496,0.906709135,0.058926336,0.034364533,0.236954719,0.497260511,0.2657848,0.21761927,0.541315377,0.241065323,0.306482494,0.369530827,0.32398665,0.328153461,0.341251016,0.330595553,1.74E-15,1,1.62E-289, CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc3ccc(OC)c(OC)c3,,,,,,,MMV000848, INACTIVE
MMV665916, INACTIVE,0.057722758,0.941156123,0.001121119,0.477981597,0.520443559,0.001574846,0.458080441,0.531684458,0.010235112,0.774603188,0.193911478,0.031485293,0.236262068,0.498331934,0.265405953,0.253156692,0.483757287,0.263085961,0.300529957,0.375998229,0.323471844,0.32435903,0.346187383,0.329453558,5.90E-10,0.999999999,3.73E-289, COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccccc3C2=O,,,,,,,MMV000911, INACTIVE
MMV008956, INACTIVE,0.136932511,0.862358702,0.000708787,0.477735996,0.519897223,0.002366783,0.569188297,0.413740456,0.017071227,0.852722466,0.115143418,0.032134071,0.23996304,0.492014676,0.268022239,0.219789252,0.537620962,0.242589831,0.314005315,0.361984909,0.324009776,0.319079787,0.352675647,0.328244567,2.68E-17,1,2.09E-298, CCOc1cc2CCNC(c3cc(OC)c(O)cc3Cl)c2cc1OCC,,,,,,,MMV000917, ACTIVE
S08837, INACTIVE,0.095870994,0.902027875,0.00210113,0.451051623,0.546172202,0.002776169,0.53445071,0.448627204,0.0169221,0.002383811,0.997454941,0.000161261,0.242907166,0.48673448,0.270358294,0.198436394,0.573417962,0.228145674,0.301398367,0.375636786,0.322964787,0.330170482,0.337607771,0.332221746,1.02E-22,1,1.40E-290, c1ccc(c(c1)c1nc2ccccc2c(=O)o1)NS(=O)(=O)c1ccc(cc1)Cl,,,,,,,MMV000963, INACTIVE
MMV000481, INACTIVE,0.057050467,0.942296811,0.000652723,0.425698668,0.572562814,0.001738519,0.513697445,0.471516788,0.014785768,0.60086602,0.373417169,0.025716821,0.23095122,0.507529616,0.261519164,0.219764382,0.537714005,0.242521703,0.306109875,0.371091753,0.322798371,0.322169811,0.349552661,0.328277588,1.59E-16,1,1.50E-292, CCOc1cc(cc(Cl)c1O)C2NCCc3cc(OCC)c(OCC)cc23,,,,,,,MMV000972, INACTIVE
BTB10004, INACTIVE,0.104665223,0.894022312,0.001312465,0.421663731,0.576168954,0.002167343,0.537636161,0.450011343,0.012352506,0.004405593,0.995394528,0.000199766,0.239279538,0.492696017,0.268024415,0.205180481,0.561920345,0.232899174,0.303569764,0.36487636,0.331553936,0.326910436,0.342117906,0.330971628,6.39E-25,1,0, c1ccc(cc1)COc1c(c(C(=O)O)oc1C(=O)O)OCc1ccccc1,,,,,,,MMV000986, INACTIVE
